Correct,Target,Result,Input Time (s)
1,who,who,4.6472368240356445
1,sun,sun,1.9830982685089111
0,cow,sun,2.064974069595337
0,cow,up,4.480296611785889
0,cow,up,7.033693552017212
0,cow,,10.004787921905518
0,no,up,0.20460128784179688
0,no,up,2.4776158332824707
1,no,no,4.585297584533691
1,horse,horse,4.280932426452637
0,chair,horse,2.377835988998413
1,chair,chair,4.953617572784424
1,now,now,2.83783221244812
0,up,now,2.4091081619262695
0,up,,10.014681816101074
0,bath,sun,4.406849384307861
0,bath,,10.017937421798706
1,hello,hello,4.5957465171813965
