Correct,Target,Result,Input Time (s)
0,hat,,10.009494066238403
0,sleep,,10.015258073806763
1,dad,dad,1.803358554840088
0,bird,dad,2.3362536430358887
1,bird,bird,4.481200695037842
0,hot,bird,2.1288299560546875
1,hot,hot,4.845494747161865
0,fast,hot,2.65899920463562
0,fast,,10.00354290008545
1,drink,drink,5.067042112350464
1,bed,bed,3.109226942062378
1,snow,snow,3.1369760036468506
1,please,please,3.0929811000823975
