Correct,Target,Result,Input Time (s)
1,hat,hat,1.3056190013885498
1,sleep,sleep,1.4186954498291016
1,dad,dad,1.378751277923584
1,bird,bird,2.073556900024414
1,hot,hot,1.3541724681854248
1,fast,fast,1.514709234237671
1,drink,drink,1.5439748764038086
1,bed,bed,1.116607904434204
1,snow,snow,1.262646198272705
1,please,please,1.6593317985534668
