Correct,Target,Result,Input Time (s)
1,hat,hat,2.0877532958984375
0,sleep,bed,6.100151538848877
1,sleep,sleep,8.127033472061157
0,dad,hat,2.1448814868927
0,dad,hat,4.312186241149902
1,dad,dad,6.726032972335815
1,bird,bird,3.296546220779419
0,hot,bird,2.435318946838379
1,hot,hot,4.541661262512207
1,fast,fast,2.4227099418640137
1,drink,drink,3.5038723945617676
0,bed,open,6.972490549087524
0,bed,,10.007514238357544
1,snow,snow,6.820803642272949
0,please,happy,2.53515362739563
0,please,happy,5.339226245880127
0,please,happy,8.12299656867981
0,please,,10.006385803222656
