Correct,Target,Result,Input Time (s)
0,nose,node,3.244736909866333
1,nose,nose,2.629260540008545
1,shampoo,shampoo,2.6896276473999023
1,policeman,policeman,2.8300201892852783
0,ask,aslbackspacek,2.1919422149658203
1,ask,ask,1.3363535404205322
1,awkward,awkward,2.8636314868927
1,hamburger,hamburger,2.851516008377075
1,leaf,leaf,1.3176133632659912
1,on,on,1.2126035690307617
1,forget,forget,1.826737642288208
1,dragon,dragon,2.3241124153137207
