Correct,Target,Result,Input Time (s)
1,water,water,1.267080545425415
1,why,why,1.335085153579712
0,finish,sinish,2.2900989055633545
1,finish,finish,4.081134796142578
0,home,homw,2.221273899078369
1,home,home,3.5303947925567627
1,happy,happy,1.7678709030151367
1,open,open,1.6793925762176514
1,rain,rain,1.2837085723876953
1,cat,cat,1.014984130859375
1,down,down,1.7196416854858398
1,sad,sad,1.2694957256317139
